column_name	column_value	description	HED
value	1111	Description for 1111	Label/1111
value	1112	Description for 1112	Label/1112
value	1121	Description for 1121	Label/1121
value	1122	Description for 1122	Label/1122
value	1211	Description for 1211	Label/1211
value	1212	Description for 1212	Label/1212
value	1331	Description for 1331	Label/1331
value	1332	Description for 1332	Label/1332
value	1341	Description for 1341	Label/1341
value	1342	Description for 1342	Label/1342
value	1351	Description for 1351	Label/1351
value	1352	Description for 1352	Label/1352
value	2221	Description for 2221	Label/2221
value	2222	Description for 2222	Label/2222
value	2241	Description for 2241	Label/2241
value	2242	Description for 2242	Label/2242
value	2251	Description for 2251	Label/2251
value	2252	Description for 2252	Label/2252
value	2621	Description for 2621	Label/2621
value	2622	Description for 2622	Label/2622
value	2631	Description for 2631	Label/2631
value	2632	Description for 2632	Label/2632
value	2811	Description for 2811	Label/2811
value	2812	Description for 2812	Label/2812
value	3111	Description for 3111	Label/3111
value	3112	Description for 3112	Label/3112
value	3200	Description for 3200	Label/3200
value	3310	Description for 3310	Label/3310
value	4210	Description for 4210	Label/4210
value	4220	Description for 4220	Label/4220
value	4230	Description for 4230	Label/4230
value	4311	Description for 4311	Label/4311
value	4312	Description for 4312	Label/4312
value	4411	Description for 4411	Label/4411
value	4421	Description for 4421	Label/4421
value	4611	Description for 4611	Label/4611
value	4612	Description for 4612	Label/4612
value	4621	Description for 4621	Label/4621
value	4622	Description for 4622	Label/4622
value	4710	Description for 4710	Label/4710
value	4720	Description for 4720	Label/4720
value	4730	Description for 4730	Label/4730
value	4740	Description for 4740	Label/4740
